"","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",1.23427790093549,0.310657461247701,2.57175359219415,0.940976000451373,0.507695167596513,1.70373267184985,NA,NA,NA,2.61174089350503e-06,4.7787867741726e-07,1.02190614684237e-05,NA,NA,NA,1.11109363194754e-06,3.19045765157595e-07,9.85846246825937e-06,NA,2.93776609179159e-11,1.50363824290659e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98740926946433,0.445938671976004,2.31316394654316,NA,2.18106467424338e-10,9.54807949623109e-06,2.68028678085479e-06,6.33382474683117e-07,1.14604615682358e-05,NA,NA,NA,NA,NA,NA
