"","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",1.21388251336502,0.992164853656282,1.46378326287775,1.24394065929694,0.99128899132207,1.60894036189863,NA,NA,NA,1.20922107613958,0.862408163914395,1.72867909652735,NA,NA,NA,2.13759569328229,1.04835320291778,6.16275038790353,2.6074731895534,1.06241864541433,7.71714148953837,2.03825081447445,1.49069353835202e-08,9513976.80278959,1.36830837729958,0.679117006900712,3.33811496945335,1.61731959132144,0.57853547118409,5.50336742510504,NA,NA,NA,NA,NA,NA,1.18770705052749,0.889323627721167,1.5179329963298,2.50204450816147,0.950665388934032,7.62691277931228,1.14813746597296,0.784759217842143,1.60693404148337,1.54742863390942,0.658752888648904,7.51068397752519,NA,NA,NA
